"word","freq"
"abeceda",131
"aberace",6
"ablace",12
"abolice",0
"abolicionismus",1
"abortivní",0
"abraze",7
"absolutní",1899
"absolvovat",280
"admirál",1034
"adresa",3632
"akácie",26
"akademie",1755
"akorát",11439
"akvárium",284
"alkohol",4528
"alt",86
"Amazonka",0
"ambulance",515
"amen",5288
"Američan",0
"ampérhodina",0
"anaglyf",0
"anatomie",301
"angažmá",121
"ani",264104
"animozita",1
"aplikace",609
"apokalypsa",470
"apologetika",0
"apoštol",105
"arbitrární",1
"aretace",0
"arch",128
"archiv",339
"archív",79
"aromatický",18
"asi",186300
"ateismus",22
"Atény",0
"Babylon",0
"bagr",89
"bakalář",36
"bakelit",263
"bakšiš",11
"balast",21
"banán",942
"banda",3638
"banka",2827
"bankrot",309
"barmský",27
"barva",4217
"báseň",1838
"bastard",2823
"báze",58
"bazilišek",28
"bažant",189
"bekhend",22
"Bělehrad",0
"Benátky",0
"berla",43
"berle",218
"beruška",87
"beryl",108
"bezděky",19
"Bezděz",0
"bible",2361
"bigotní",51
"biliár",36
"bílý",6118
"biofeedback",7
"bit",310
"blazeovaný",2
"blbec",6091
"blbina",51
"blízký",1712
"blok",2361
"blůza",136
"blůzička",2
"blůzka",51
"Bohnice",0
"bolehlav",137
"bolševik",35
"bombastický",48
"bomba",7173
"bond",1213
"bonus",1271
"bordel",3645
"boule",244
"brambora",281
"brána",2488
"branka",122
"bratr",26573
"brífink",111
"broskev",245
"brousit",67
"brundibár",5
"bruslařka",39
"brva",0
"brzo",16142
"brzy",40894
"Březnice",0
"Břežany",0
"bubínek",187
"budiž",1828
"budka",417
"bula",52
"bulvár",339
"bumážka",0
"buňka",524
"buřt",92
"cajk",39
"celer",201
"cikáně",3
"církev",2068
"cirkus",1568
"císař",2019
"cizák",65
"coby",1071
"cukr",2832
"cukrovka",152
"čabajka",11
"čabraka",0
"čaj",11179
"čárka",311
"častuška",1
"Čech",0
"černý",7206
"Česká",0
"čest",8839
"čilý",114
"čišet",3
"čmelák",80
"čokoláda",1361
"čtverec",343
"ďábel",4126
"dálkařka",0
"dálkař",1
"datum",4473
"dávit",27
"decimovat",4
"děj",543
"delegace",359
"dělnice",102
"démotický",0
"den",148219
"department",101
"determinace",4
"děvka",6508
"diaspora",5
"digestoř",14
"digitální",1173
"diktátor",299
"diletant",33
"diplomacie",267
"diplomatický",181
"diplomat",324
"díra",3913
"divadlo",3007
"diversifikace",0
"diverzifikace",10
"dnes",126222
"dobrý",166240
"Dobříš",0
"dohled",1639
"dolní",841
"domov",12224
"dost",129446
"doubrava",0
"dráb",8
"drát",1915
"dršťka",2
"druhý",21110
"družice",169
"družka",74
"družstvo",537
"duhovka",21
"duma",22
"dušení",145
"dvojče",1260
"dvojtečka",42
"dýně",548
