"word","stopword"
"abeceda",false
"aberace",false
"ablace",false
"abolice",false
"abolicionismus",false
"abortivní",false
"abraze",false
"absolutní",false
"absolvovat",false
"admirál",false
"adresa",false
"akácie",false
"akademie",false
"akorát",false
"akvárium",false
"alkohol",false
"alt",false
"Amazonka",false
"ambulance",false
"amen",false
"Američan",false
"ampérhodina",false
"anaglyf",false
"anatomie",false
"angažmá",false
"ani",true
"animozita",false
"aplikace",false
"apokalypsa",false
"apologetika",false
"apoštol",false
"arbitrární",false
"aretace",false
"arch",false
"archiv",false
"archív",false
"aromatický",false
"asi",true
"ateismus",false
"Atény",false
"Babylon",false
"bagr",false
"bakalář",false
"bakelit",false
"bakšiš",false
"balast",false
"banán",false
"banda",false
"banka",false
"bankrot",false
"barmský",false
"barva",false
"báseň",false
"bastard",false
"báze",false
"bazilišek",false
"bažant",false
"bekhend",false
"Bělehrad",false
"Benátky",false
"berla",false
"berle",false
"beruška",false
"beryl",false
"bezděky",false
"Bezděz",false
"bible",false
"bigotní",false
"biliár",false
"bílý",false
"biofeedback",false
"bit",false
"blazeovaný",false
"blbec",false
"blbina",false
"blízký",false
"blok",false
"blůza",false
"blůzička",false
"blůzka",false
"Bohnice",false
"bolehlav",false
"bolševik",false
"bombastický",false
"bomba",false
"bond",false
"bonus",false
"bordel",false
"boule",false
"brambora",false
"brána",false
"branka",false
"bratr",false
"brífink",false
"broskev",false
"brousit",false
"brundibár",false
"bruslařka",false
"brva",false
"brzo",true
"brzy",false
"Březnice",false
"Břežany",false
"bubínek",false
"budiž",false
"budka",false
"bula",false
"bulvár",false
"bumážka",false
"buňka",false
"buřt",false
"cajk",false
"celer",false
"cikáně",false
"církev",false
"cirkus",false
"císař",false
"cizák",false
"coby",false
"cukr",false
"cukrovka",false
"čabajka",false
"čabraka",false
"čaj",false
"čárka",false
"častuška",false
"Čech",false
"černý",false
"Česká",false
"čest",false
"čilý",false
"čišet",false
"čmelák",false
"čokoláda",false
"čtverec",false
"ďábel",false
"dálkařka",false
"dálkař",false
"datum",false
"dávit",false
"decimovat",false
"děj",false
"delegace",false
"dělnice",false
"démotický",false
"den",true
"department",false
"determinace",false
"děvka",false
"diaspora",false
"digestoř",false
"digitální",false
"diktátor",false
"diletant",false
"diplomacie",false
"diplomatický",false
"diplomat",false
"díra",false
"divadlo",false
"diversifikace",false
"diverzifikace",false
"dnes",true
"dobrý",true
"Dobříš",false
"dohled",false
"dolní",false
"domov",false
"dost",false
"doubrava",false
"dráb",false
"drát",false
"dršťka",false
"druhý",false
"družice",false
"družka",false
"družstvo",false
"duhovka",false
"duma",false
"dušení",false
"dvojče",false
"dvojtečka",false
"dýně",false
"džbán",false
"ekonomie",false
"ekonomika",false
"ekonom",false
"elativ",false
"elektron",false
"elektřina",false
"elév",false
"elipsa",false
"energie",false
"entita",false
"erb",false
"erupce",false
"escudo",false
"esoterický",false
"etiketa",false
"etymologie",false
"eufemismus",false
"Evropa",false
"exces",false
"expirace",false
"ezoterický",false
"facka",false
"fakule",false
"fara",false
"fasáda",false
"feminismus",false
"fena",false
"fén",false
"fešák",false
"firma",false
"fištrón",false
"fízl",false
"flaška",false
"fluktuace",false
"fofr",false
"foch",false
"folklór",false
"forhend",false
"formule",false
"fórum",false
"fotr",false
"frajer",false
"fraktura",false
"frapantní",false
"fundace",false
"funkce",false
"futro",false
"galantní",false
"gauč",false
"gen",false
"gestapo",false
"golf",false
"granát",false
"grázl",false
"guláš",false
"gymnastika",false
"hacienda",false
"hambalek",false
"havěť",false
"hédonismus",false
"hejtman",false
"helium",false
"hélium",false
"hetéra",false
"hezký",false
"hlava",false
"hlediště",false
"hmota",false
"hodný",false
"hoch",false
"holič",false
"holka",false
"hora",false
"horní",false
"hořčice",false
"hosana",false
"hospic",false
"house",false
"houser",false
"houska",false
