"word","pos","hyphenation","ethymology","meaning"
"abeceda","podstatné jméno","abe-ce-da","Slovo vzniklo sloučením prvních písmen latinské abecedy (a + b + c + d), jedná se učebnicovou slučovací (kopulativní) složeninu.","1) množina písmen označujících hlásky; písmena jdou za sebou určeném pořadí 2) základní informace pro určitý obor"
"aberace","podstatné jméno","abe-ra-ce","Z latinského aberrātiō, které vychází ze slovesa abĕrrāre — odchýlit se, zabloudit, odvozeného od errāre — bloudit, chybovat. Srovnej např. anglické err.","1) odchylka od normálu 2)  zdánlivé odchýlení světelného paprsku způsobené pohybem Země 3)  odchylka od průměrných vlastností a]] [[znaků jedné generace 4)  sexuální úchylka 5)  odchylka od ideálního zobrazení čočkou způsobená závislostí ohniskové vzdálenosti čoček na vlnové délce světla 6)  odchylka směru toku světelných paprsků procházejících okrajem čočky od toku světelných paprsků procházejících poblíž osy čočky 7)  druh omylu trestním právu"
"ablace","podstatné jméno","ab-la-ce","Z latinského ablatio.","1)  zmenšení hmoty povrchu materiálu mechanickým působením povětrnostních vlivů (tání, odpaření, odvátí, působení deště apod.) 2)  odstranění hmoty za pomocí vysokoteplotní metody, např. laserem nebo atmosferickým třením 3)  odstranění části těla operací"
"abolice","podstatné jméno","abo-li-ce","Z latinského abolitio, které od slovesa abolere — zrušit, odstranit.","1)  zastavení nebo nezahájení trestního řízení 2) zrušení či odvolání (opatření, nařízení, zákona apod.) 3)  zrušení policejního dozoru nad prostitutkami"
"abolicionismus","podstatné jméno","abo-li-cio-ni-s-mus","Z latinského abolitio, které od slovesa abolere — zrušit, odstranit.","1) hnutí usilující o]] nějakého zákona nebo fenoménu (např. trestu smrti) 2)  hnutí za zrušení otroctví Severní Americe v]] 19. [[století"
"abortivní","přídavné jméno","abor-tiv-ní","Z latinského abortus (potrat), což je příčestí činné perfekta slovesa aborior (zmizet, ztratit se, vypařit se nebo též potratit, nedonosit), které vzniklo spojením předložky ab (z, od) a slovesa orior (vstát, povstat, objevit se).","1)  způsobující potrat 2)  nevyvinutý; nedostatečně vyvinutý"
"abraze","podstatné jméno","ab-ra-ze","Z latinského abrasio (seškrábnutí).","1)  mechanické obrušování zubu 2)  mechanické obrušování povrchu horniny"
"absolutní","přídavné jméno","ab-so-lut-ní","Z latinského absolutus (úplný, naprostý), trpného příčestí absolvere (zprostit) < ab- + solvere, tedy vlastně „oproštěný od všeho“.","1) naprostý, nepodmíněný, dokonalý, ničím nesrovnatelný 2) samovládný, nezávislý, svrchovaný"
"absolvovat","sloveso","ab-sol-vo-vat","Z latinského absolvĕre — pustit, propustit; rozhřešit, které je odvozeninou slovesa solvĕre — pouštět, rozpouštět; řešit. Srovnej např. rezoluce či anglické dissolute.","1) něco vykonat nebo se toho zúčastnit 2) dokončit studium 3)  propustit z]] [[odpovědnosti; udělit absolutorium 4)  udělit rozhřešení (absoluci)"
"admirál","podstatné jméno","ad-mi-rál","Přes angličtinu a francouzštinu odvozeno ze středověkého arabského امير amir — „vojenský velitel“, pravděpodobně převzatého vlivem použití ve středověké latině ve významu „muslimský vojevůdce“. V Evropě se slovo začalo používat poprvé ve vojsku Sicilanů za křižáckých válek (r. 1142). Souhláska d na začátku slova byla zřejmě přidána pod vlivem latinského slova admirabilis.","1) obecné označení nejvyšších hodností válečného námořnictva 2) jedna specifická hodnost z]] válečného námořnictva, stojící zpravidla nad viceadmirálem a]] admirálem loďstva"
"adresa","podstatné jméno","ad-re-sa","Z latiny: ad + directus.","1) označení jména a]] zásilce 2) obecné označení bydliště 3) obecné označení příjemce 4) místo pro uložení instrukce nebo informace v]] počítačové síti 5) písemný, zpravidla slavnostní (blahopřejný, pozdravný, děkovný) a]] [[umělecky provedený projev"
"akácie","podstatné jméno","aká-cie","* Z latinského acacia a starořeckého ἀκακία (akakía) téhož významu.","1) tropický nebo subtropický keř nebo strom čeledi bobovitých rodu Akacia, používaný jako okrasná dřevina, většinou trnitý a]] dovážejí pod nepřesným názvem mimóza 2) (nepřesně) akát, trnovník akát"
"akademie","podstatné jméno","aka-de-mie","Odvozeno z latinského Academia, jež vzniklo z řeckého Akadémeia (Άχαδημία) — „Akadémův háj“; (Άχαδημος) byl legendární Atéňan z pověstí o, na jehož usedlosti přednášel svoje učení Platón. Samotné jméno Akadémos zřejmě označuje osobu „z tiché oblasti“.","1) společnost specialistů s]] určitém oboru 2) označení některých vysokých škol resp. fakult 3) dobrovolné umělecké vystoupení pro veřejnost s]] [[rozmanitým programem 4)  filosofická škola založená Platónem"
"akorát","příslovce","ako-rát","Z latinského accuratus (pečlivý, důkladný) přes německé akkurat.","1)  zrovna, právě, přesně 2)  už pouze, již jen, leda 3)  (ironicky upozorňuje na určitou ""drobnost"") 4) * (titul knihy o Karlu Krylovi)"
"akvárium","podstatné jméno","ak-vá-rium","Z latinského aqua — „voda“ resp. aquaris — „týkající se vody“.","1) skleněná nádrž pro chov malých, zpravidla exotických ryb a]] [[jiných vodních živočichů 2) veřejně přístupná sbírka vodních živočichů, vystavených [[v]] akváriích (1)"
